Place of interest,Type of place,address,embajada_latitude,embajadas_longitude
Embajada de Paraguay,Embajada ,CALLE DOCTOR FLEMING 3 PLANTA 1,40.45493881024835,-3.689343217985603
Embajada de Países Bajos,Embajada ,PASEO CASTELLANA 259 PLANTA 36 D,40.47592404926307,-3.6872691224974417
Embajada de Perú,Embajada ,CALLE ZURBANO 70 PLANTA BAJA,40.43616945348523,-3.692959769973163
Embajada de Polonia,Embajada ,CALLE GUISANDO 23 BIS,40.470839866907276,-3.7303803419819235
Embajada de Portugal,Embajada ,CALLE LAGASCA 88 PLANTA 4 A,40.42991206232817,-3.6847491581278606
Embajada de Qatar,Embajada ,PASEO CASTELLANA 15 PLANTA 5,40.42811394313855,-3.690189203244315
Embajada de Reino Unido de Gran Bretaña e Irlanda del Norte,Embajada ,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417
Embajada de República Checa,Embajada ,AVENIDA COMANDANTE FRANCO 34,40.46594286739446,-3.672409949254646
Embajada de República Dominicana,Embajada ,PASEO CASTELLANA 30 PLANTA 1 DERECHA,40.43157571673001,-3.6882911089925896
Embajada de Rumanía,Embajada ,AVENIDA ALFONSO XIII 157,40.46019291202317,-3.6783690131760567
Embajada de Rusia,Embajada ,CALLE VELAZQUEZ 155,40.444751383993676,-3.6829776549736115
Embajada de San Marino,Embajada ,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,40.44145820584704,-3.6776854132094505
Embajada de Santa Sede,Embajada ,AVENIDA PIO XII 46,40.4686277265949,-3.673334399530984
Embajada de Senegal,Embajada ,CALLE MORALZARZAL 18,40.4893449888833,-3.704826324433652
Embajada de Serbia,Embajada ,CALLE VELAZQUEZ 3,40.42148926032306,-3.6846401694200934
Embajada de Siria,Embajada ,PLAZA PLATERIA DE MARTINEZ 1 PLANTA 1,40.4125341323426,-3.6937308712796155
Embajada de Sudáfrica,Embajada ,CALLE CLAUDIO COELLO 91 PLANTA 6 y 7,40.43068902185026,-3.6859006104054375
Embajada de Sudán,Embajada ,AVENIDA MIRAFLORES 63,40.47203025842744,-3.733123924003301
Embajada de Suecia,Embajada ,CALLE CARACAS 25,40.43071473630789,-3.6936700862940017
Embajada de Suiza,Embajada ,CALLE NU&amp;Ntilde;EZ DE BALBOA 35 A PLANTA 7,40.42545465763344,-3.682876737414012
Embajada de Tailandia,Embajada ,CALLE JOAQUIN COSTA 29,40.44603023889291,-3.686091916414186
Embajada de Turquía,Embajada ,CALLE RAFAEL CALVO 18 PLANTA 2 A/B,40.43387373574068,-3.6941977264344406
Embajada de Túnez,Embajada ,AVENIDA ALFONSO XIII 64 66 y 68,40.454007125972694,-3.6669496805547963
Embajada de Ucrania,Embajada ,RONDA ABUBILLA 52,40.455238430865464,-3.6371237934421803
Embajada de Uruguay,Embajada ,PASEO PINTOR ROSALES 28 PLANTA 1 Izquierda,40.42680087237986,-3.7193764162400194
Embajada de Uzbekistan,Embajada ,PLAZA LEALTAD 3 PLANTA ENTREPLANTA DERECHA,40.41599086503211,-3.6921175196225273
Embajada de Venezuela,Embajada ,CALLE POETA JOAN MARAGALL 1 PLANTA 13,40.453273030213545,-3.6928454510581132
Embajada de Vietnam,Embajada ,AVENIDA ALFONSO XIII 54,40.452933755417405,-3.6671749335999184
Embajada de Yemen,Embajada ,PASEO CASTELLANA 117 PLANTA 8 D,40.457056423282566,-3.6907683475311566
Embajada de la República Popular Democrática de Corea,Embajada ,CALLE DARIO APARICIO 43,40.472005387402454,-3.770870629526731
Embajada de la República de Corea,Embajada ,CALLE GONZALEZ AMIGO 15,40.4661068662576,-3.666833442645388
Embajada del Nepal,Embajada ,CALLE GENERAL ORAA 3 PLANTA bajo izquierda,40.43603074588647,-3.687904662891031
